experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-06A,exp06a_practical_variant_3_k200,exact,15.40,21.00,5.60,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,exact,21.00,23.00,2.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,exact,23.00,24.20,1.20,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,24.20,27.20,3.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,27.20,31.20,4.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,31.20,33.20,2.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,exact,33.20,40.40,7.20,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,exact,40.40,42.40,2.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k200,exact,42.40,48.80,6.40,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,48.80,52.80,4.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,52.80,55.80,3.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,55.80,67.80,12.00,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,67.80,70.80,3.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,70.80,73.80,3.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,73.80,83.40,9.60,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k200,exact,83.40,86.40,3.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,0,4.0,4.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,4.0,16.8,12.8,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,16.8,20.8,4.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,20.8,26.8,6.0,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,26.8,30.8,4.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,30.8,42.0,11.2,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,42.0,46.0,4.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,46.0,48.4,2.4,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,48.4,50.0,1.6,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,50.0,56.0,6.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,56.0,64.0,8.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,64.0,64.4,0.4,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,64.4,68.4,4.0,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,68.4,99.2,30.8,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,99.2,107.2,8.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,107.2,113.2,6.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,113.2,137.2,24.0,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,137.2,143.2,6.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,143.2,149.2,6.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,149.2,168.4,19.2,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,baseline,168.4,174.4,6.0,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,0,4.00,4.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,4.00,16.80,12.80,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,16.80,20.80,4.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,20.80,26.80,6.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,26.80,30.80,4.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,exact,30.80,42.00,11.20,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,exact,42.00,46.00,4.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,exact,46.00,48.40,2.40,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,48.40,54.40,6.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,54.40,62.40,8.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,62.40,66.40,4.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,exact,66.40,80.80,14.40,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,exact,80.80,84.80,4.00,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k400,exact,84.80,97.60,12.80,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,97.60,105.60,8.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,105.60,111.60,6.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,111.60,135.60,24.00,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,135.60,141.60,6.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,141.60,147.60,6.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,147.60,166.80,19.20,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k400,exact,166.80,172.80,6.00,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,0,0.250,0.250,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,0.250,1.050,0.800,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,1.050,1.300,0.250,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,1.300,1.675,0.375,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,1.675,1.925,0.250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,1.925,2.625,0.700,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,2.625,2.875,0.250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,2.875,3.025,0.150,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,3.025,3.125,0.100,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,3.125,3.500,0.375,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,3.500,4.000,0.500,1,1,1,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,4.000,4.025,0.025,2,1,0,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,4.025,4.1875,0.1625,1,1,1,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,4.1875,4.4375,0.2500,2,1,0,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,4.4375,4.7875,0.3500,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,4.7875,4.9750,0.1875,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,4.9750,6.200,1.2250,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,6.200,6.700,0.500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,6.700,7.075,0.375,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,7.075,7.200,0.125,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,7.200,7.600,0.400,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,7.600,7.725,0.125,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,7.725,8.575,0.850,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,8.575,8.950,0.375,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,8.950,9.0125,0.0625,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,9.0125,9.2125,0.2000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,baseline,9.2125,9.2750,0.0625,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,0,0.2500,0.2500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,0.2500,1.0500,0.8000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,1.0500,1.3000,0.2500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,1.3000,1.6750,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,1.6750,1.9250,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,1.9250,2.6250,0.7000,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,2.6250,2.8750,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,2.8750,3.0250,0.1500,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,3.0250,3.4000,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,3.4000,3.9000,0.5000,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,3.9000,4.0875,0.1875,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,4.0875,4.3375,0.2500,2,1,0,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,exact,4.3375,4.6875,0.3500,3,0,0,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,exact,4.6875,4.8750,0.1875,2,1,0,3,1,false
EXP-06A,exp06a_practical_variant_4_k025,exact,4.8750,5.2375,0.3625,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,5.2375,5.4875,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,5.4875,6.1000,0.6125,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,6.1000,6.6000,0.5000,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,6.6000,6.9750,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,6.9750,7.1000,0.1250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,7.1000,7.5000,0.4000,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,7.5000,7.6250,0.1250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_4_k025,exact,7.6250,8.4750,0.8500,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,8.4750,8.8500,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,8.8500,8.9125,0.0625,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,8.9125,9.1125,0.2000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k025,exact,9.1125,9.1750,0.0625,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k050,baseline,0,0.50,0.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k050,baseline,0.50,2.10,1.60,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_4_k050,baseline,2.10,2.60,0.50,0,1,0,1,3,false
