experiment_id,stream,namespace,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,observation_index,attempt,raw_seed,accepted,reason,rho_l,longest_path_count,rho_h_low,rho_h_high
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_09,n8_mixed_lognormal,8,mixed,lognormal,medium,9,5,4136949700888483521,true,accepted_all_structural_and_allocator_checks,0.5555555555555555555555555556,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_10,n8_mixed_lognormal,8,mixed,lognormal,medium,10,0,14602295155564998000,true,accepted_all_structural_and_allocator_checks,0.5625,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_11,n8_mixed_lognormal,8,mixed,lognormal,medium,11,0,36662124724034299,true,accepted_all_structural_and_allocator_checks,0.5882352941176470588235294118,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_12,n8_mixed_lognormal,8,mixed,lognormal,medium,12,0,7122292719801478275,true,accepted_all_structural_and_allocator_checks,0.5625,1,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_13,n8_mixed_lognormal,8,mixed,lognormal,medium,13,0,3853471174482124640,false,rho_l_outside_target_bin,0.7142857142857142857142857143,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_13,n8_mixed_lognormal,8,mixed,lognormal,medium,13,1,12673821451903222252,true,accepted_all_structural_and_allocator_checks,0.5,2,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_14,n8_mixed_lognormal,8,mixed,lognormal,medium,14,0,14965805553594031523,false,rho_l_outside_target_bin,0.6666666666666666666666666667,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_14,n8_mixed_lognormal,8,mixed,lognormal,medium,14,1,13322123387462404596,false,rho_l_outside_target_bin,0.6315789473684210526315789474,2,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_14,n8_mixed_lognormal,8,mixed,lognormal,medium,14,2,5067196827175173985,false,rho_l_outside_target_bin,0.7272727272727272727272727273,1,,
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_mixed_lognormal_14,n8_mixed_lognormal,8,mixed,lognormal,medium,14,3,15681241869739691389,true,accepted_all_structural_and_allocator_checks,0.5,3,0.3,0.7
