experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-05,exp05_p01_m03_ro050_lh00,exact,58.20000,59.40000,1.20000,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh00,exact,59.40000,62.40000,3.00000,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,0,1.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,1.50,10.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,10.50,12.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,12.00,12.75,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,12.75,17.25,4.50,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,17.25,18.00,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,18.00,20.25,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,20.25,33.75,13.50,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,33.75,36.00,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,36.00,37.200,1.200,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,37.200,43.400,6.200,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,43.400,44.600,1.200,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,44.600,50.800,6.200,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,50.800,52.000,1.200,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,baseline,52.000,58.200,6.200,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,58.200,58.800,0.600,1,0,0,1,0,false
EXP-05,exp05_p01_m03_ro050_lh05,baseline,58.800,62.400,3.600,0,1,0,1,0,true
EXP-05,exp05_p01_m03_ro050_lh05,exact,0,1.50000,1.50000,0,1,0,1,0,true
