dag_id,task_count,topology_family,weight_type,allocation,phase_profile,P,wall_time_seconds,outcome_recorded
exp08_development_n16_wide_layered_lognormal_06,16,wide_layered,lognormal,high,io,8,0.000487375,false
exp08_development_n16_wide_layered_lognormal_07,16,wide_layered,lognormal,low,io,8,0.000494292,false
exp08_development_n16_wide_layered_lognormal_07,16,wide_layered,lognormal,high,io,8,0.000487666,false
exp08_development_n16_wide_layered_lognormal_08,16,wide_layered,lognormal,low,io,8,0.000479958,false
exp08_development_n16_wide_layered_lognormal_08,16,wide_layered,lognormal,high,io,8,0.000472541,false
exp08_development_n16_wide_layered_lognormal_09,16,wide_layered,lognormal,low,io,8,0.000513458,false
exp08_development_n16_wide_layered_lognormal_09,16,wide_layered,lognormal,high,io,8,0.000492916,false
exp08_development_n16_mixed_homogeneous_00,16,mixed,homogeneous,low,io,8,0.000466375,false
exp08_development_n16_mixed_homogeneous_00,16,mixed,homogeneous,high,io,8,0.000459250,false
exp08_development_n16_mixed_homogeneous_01,16,mixed,homogeneous,low,io,8,0.000466709,false
exp08_development_n16_mixed_homogeneous_01,16,mixed,homogeneous,high,io,8,0.000482541,false
exp08_development_n16_mixed_homogeneous_02,16,mixed,homogeneous,low,io,8,0.000468958,false
exp08_development_n16_mixed_homogeneous_02,16,mixed,homogeneous,high,io,8,0.000463875,false
exp08_development_n16_mixed_homogeneous_03,16,mixed,homogeneous,low,io,8,0.000471291,false
exp08_development_n16_mixed_homogeneous_03,16,mixed,homogeneous,high,io,8,0.000456916,false
exp08_development_n16_mixed_homogeneous_04,16,mixed,homogeneous,low,io,8,0.000471959,false
exp08_development_n16_mixed_homogeneous_04,16,mixed,homogeneous,high,io,8,0.000454584,false
exp08_development_n16_mixed_homogeneous_05,16,mixed,homogeneous,low,io,8,0.000461166,false
exp08_development_n16_mixed_homogeneous_05,16,mixed,homogeneous,high,io,8,0.000457084,false
exp08_development_n16_mixed_homogeneous_06,16,mixed,homogeneous,low,io,8,0.000548541,false
exp08_development_n16_mixed_homogeneous_06,16,mixed,homogeneous,high,io,8,0.000530167,false
exp08_development_n16_mixed_homogeneous_07,16,mixed,homogeneous,low,io,8,0.000501708,false
exp08_development_n16_mixed_homogeneous_07,16,mixed,homogeneous,high,io,8,0.000559292,false
exp08_development_n16_mixed_homogeneous_08,16,mixed,homogeneous,low,io,8,0.000478375,false
exp08_development_n16_mixed_homogeneous_08,16,mixed,homogeneous,high,io,8,0.000460917,false
exp08_development_n16_mixed_homogeneous_09,16,mixed,homogeneous,low,io,8,0.000457750,false
exp08_development_n16_mixed_homogeneous_09,16,mixed,homogeneous,high,io,8,0.000477792,false
exp08_development_n16_mixed_lognormal_00,16,mixed,lognormal,low,io,8,0.000496917,false
exp08_development_n16_mixed_lognormal_00,16,mixed,lognormal,high,io,8,0.000477125,false
exp08_development_n16_mixed_lognormal_01,16,mixed,lognormal,low,io,8,0.000471208,false
exp08_development_n16_mixed_lognormal_01,16,mixed,lognormal,high,io,8,0.000475584,false
exp08_development_n16_mixed_lognormal_02,16,mixed,lognormal,low,io,8,0.000462166,false
exp08_development_n16_mixed_lognormal_02,16,mixed,lognormal,high,io,8,0.000464541,false
exp08_development_n16_mixed_lognormal_03,16,mixed,lognormal,low,io,8,0.000611084,false
exp08_development_n16_mixed_lognormal_03,16,mixed,lognormal,high,io,8,0.000567417,false
exp08_development_n16_mixed_lognormal_04,16,mixed,lognormal,low,io,8,0.000498875,false
exp08_development_n16_mixed_lognormal_04,16,mixed,lognormal,high,io,8,0.000484625,false
