experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t04,agent_1,2,agent,33.000,45.000,12.000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,phase,t04,human_2,2,human,45.000,51.000,6.000,45.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh50_io,exact,wait,t02,human_2,1,human_queue,19.500,24.000,4.500,19.500,4.500
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t01,human_1,1,human,0,2.7000,2.7000,0,0
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t01,agent_1,1,agent,2.7000,5.7000,3.0000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t01,human_2,1,human,5.7000,6.0000,0.3000,5.7000,0.0000
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t02,human_1,2,human,14.1000,19.5000,5.4000,6.0000,8.1000
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t02,agent_1,2,agent,19.5000,25.5000,6.0000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t02,human_2,2,human,25.5000,26.1000,0.6000,25.5000,0.0000
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t03,human_1,1,human,6.0000,14.1000,8.1000,6.0000,0.0000
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t03,agent_1,1,agent,14.1000,23.1000,9.0000,,0
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t03,human_2,1,human,23.1000,24.0000,0.9000,23.1000,0.0000
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t04,human_1,1,human,26.1000,36.9000,10.8000,26.1000,0.0000
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,baseline,phase,t04,agent_1,1,agent,36.9000,48.9000,12.0000,,0
